label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
0,0,0.008292,0.01,0.36,0.316484,0,0,0.02,1,0,0,0,0.4,14,1735,2218,415702,664217,664522,665360,676740,677367,677371,732357,737626,1147603,1150533,1152724,1163250,1528986,1529481,1533924,1536018,1536225,1934144,1934164,1934271,2022801,2022897
1,0.05,1,0,0.04,0.001641,0.004,0.01,0.04,0.004,0.1,0.1,0,0.04,15,1477,279555,586880,664218,664522,668221,676733,677367,677371,733042,996599,1148218,1150513,1150563,1394210,1528984,1529001,1533925,1536019,1783027,1934144,1934163,1939176,2022802,2022902
0,0,0.006633,0,0,0.259328,1,0.03,0.1,0.246,0,0.1,0,0.02,17,1574,2037,415609,664217,664523,674293,676733,677367,716131,735817,737438,1150213,1150512,1151391,1163042,1528982,1529590,1533924,1536018,1536028,1934145,1934163,1934184,2022801,2022897
0,0,0.044776,0.04,0.04,0.032125,0.024,0.06,0.2,0.166,0,0.1,0,0.04,14,1490,17076,429262,664219,664523,664549,676736,677367,677406,732090,752825,1147340,1150514,1150568,1179387,1528982,1529008,1533925,1536019,1551959,1934144,1934163,1934372,2022804,2024340
1,0,0.082919,0,0,0.099984,0.076,0.19,0.2,0.286,0,1,0,0.12,33,1475,2071,415657,664216,664522,666006,676734,677367,677371,733134,737476,1148296,1150514,1150853,1163087,1528982,1529114,1533924,1536018,1536067,1934144,1934163,1934233,2022801,2022897
0,0,0.006633,0.8,0,0.028875,0.574,0.01,0.08,0.092,0,0.1,0,0.08,14,1481,2032,422103,664216,664522,664606,676733,677367,677371,733139,737432,1147441,1150513,1150544,1163036,1528984,1528997,1533936,1536021,1536022,1934144,1934163,1936873,2022803,2023741
0,0,0.004975,0.14,0.12,0.111437,0.342,0.02,0.04,0.012,0,0.1,0,0.12,14,1475,4332,416712,664216,664523,665212,676734,677367,677379,732198,739792,1147373,1150512,1152558,1164943,1528983,1529668,1533924,1536018,1537757,1934144,1934164,1934182,2022801,2022897
0,0,0.0199,0.09,0.34,0.183969,0,0,0.46,0.256,0,0,0,0.34,14,1486,4393,415713,664216,664522,665802,676733,677367,678120,732701,737635,1147934,1150513,1150560,1163133,1528989,1529019,1533924,1536018,1536113,1934144,1934168,1934201,2022801,2022897
0,0,0.006633,0.02,0,0.096719,0.168,0.01,0.54,0.142,0,0.1,0,0,16,1581,2033,415607,664216,664522,667662,676733,677367,684682,733900,737433,1148373,1150513,1151937,1163037,1528984,1529338,1533924,1536018,1536023,1934146,1934164,1934181,2022801,2022897
0,0,0.011609,0.16,0,0.092578,0.004,0.02,0,0,0,0.1,0,0,16,1481,3530,417627,664216,664521,664583,676733,677367,677440,732110,738970,1147359,1150515,1150749,1164785,1528983,1528997,1534747,1536021,1537622,1934144,1934163,1934179,2022803,2022898
1,0,0.006633,0.2,0.32,0.024188,0.186,0.42,0.64,1,0,1,0.1,0.32,17,1517,2032,421098,664216,664522,664566,676735,677367,677438,732098,737432,1147348,1150513,1150645,1163036,1528987,1529029,1533925,1536021,1536022,1934144,1934163,1934993,2022814,2023538
1,0.15,0.004975,0.04,0.26,0.0035,0.056,0.03,0.7,0.054,0.1,0.1,0,0.26,14,1501,4355,418805,664216,664525,664544,676733,677367,677375,732086,739813,1147333,1150515,1150722,1165754,1528982,1529129,1533924,1536018,1538498,1934144,1934164,1934438,2022801,2022897
1,0,0.464345,0,0.06,0.114344,0.048,0.06,0.06,0.196,0,0.1,0,0.06,17,1618,4609,418201,664217,664524,665263,676733,677367,677371,732681,740078,1147916,1150513,1151880,1166045,1528982,1529885,1533924,1536018,1538770,1934144,1934164,1934262,2022801,2022897
0,0.05,0.004975,0.01,0,0.022297,0.006,0.16,0.22,0.1,0,0.2,0.1,0,14,1644,3560,416031,664217,664522,664566,676733,677367,677395,732098,739001,1147348,1150513,1151529,1164819,1528985,1529316,1533924,1536018,1537647,1934144,1934163,1934330,2022801,2022897
0,0.2,0.004975,0.55,0.16,0.013422,0.026,0.04,0.24,0.026,0.1,0.1,0,0.16,14,1502,167187,416353,664216,664521,664606,676733,677367,677371,732344,903809,1147441,1150516,1151311,1165560,1528986,1529015,1533925,1536021,1655681,1934144,1934163,1934619,2022803,2024791
1,0.05,0.434494,0.01,0.02,0.000078,0.002,0.06,0.02,0.002,0.1,0.3,0,0.02,14,1642,3962,418228,664216,664521,664571,676733,677367,677979,732092,739412,1147341,1150512,1151573,1165287,1528982,1529259,1533924,1536018,1538079,1934144,1934163,1934297,2022801,2022897
1,0,0.215589,0.01,0.06,0.026297,0.038,0.26,0.34,0.95,0,0.9,0,0.06,14,1498,7442,422792,664217,664523,664759,676733,677367,677724,732118,742995,1147371,1150513,1150598,1169210,1528988,1529014,1533991,1536021,1541834,1934145,1934168,1934179,2022810,2022898
0,0,0.006633,0,0,0.363359,0,0,0.02,0.146,0,0,0,0,31,1496,2038,415609,664216,664522,664748,676735,677367,677371,732209,737439,1147476,1150512,1150650,1163044,1528986,1529039,1533924,1536018,1536030,1934144,1934163,1934184,2022801,2022897
0,0.3,0.003317,0,0,0.014297,0.08,0.26,0.66,0.144,0.1,0.3,0,0,24,1480,2032,434237,664216,664523,666805,676733,677367,681243,733298,737432,1148428,1150512,1150597,1244146,1528982,1529011,1533925,1536021,1536022,1934146,1934166,1936034,2022802,2024271
0,0.4,0.004975,0.15,0.4,0.001797,0.048,0.08,0.46,0.048,0.2,0.2,0,0.4,16,1582,2032,512427,664216,664521,665152,676733,677367,677377,732328,737432,1147388,1150514,1151740,1163036,1528988,1529130,1533925,1536019,1536022,1934144,1934163,1956228,2022810,2062801
0,0,0.006633,0.18,0.1,0.026297,0.16,0.38,0.1,0.19,0,0.5,0,0.1,14,1481,2035,415610,664216,664521,664707,676733,677367,677773,732125,737436,1147379,1150514,1150687,1163040,1528985,1529012,1533930,1536021,1536026,1934144,1934163,1934182,2022803,2022904
0,0,0.003317,0,0,0.076469,0.04,0.01,0.14,0.04,0,0.1,0,0,14,1508,2033,415607,664218,664522,670074,676733,677367,691018,734630,737433,1149494,1150518,1150585,1163037,1528983,1529049,1533924,1536018,1536023,1934146,1934164,1934181,2022801,2022897
0,0,0.014925,0.06,0.3,0.315828,1,0.07,0.84,0.72,0,0.2,0,0.8,14,1700,2033,415607,664217,664522,665811,676739,677367,677371,732357,737433,1147603,1150514,1152312,1163037,1528982,1529790,1533924,1536018,1536023,1934144,1934163,1934181,2022801,2022897
0,1,0.033167,0.02,0.22,0.004531,0.046,0.31,0.46,0.13,0.2,0.2,0,0.22,14,1480,2032,415606,664216,664523,664570,676733,677367,679392,732114,737432,1147363,1150513,1150590,1163036,1528982,1529011,1534201,1536021,1536022,1934149,1934165,1934287,2022802,2023151
0,0.05,1,0.13,0.08,0.000625,0.008,0.69,0.06,1,0.1,1,0,0.08,14,1475,17034,417668,664216,664524,665451,676735,677367,682006,732158,752725,1147417,1150512,1156332,1179292,1528982,1530274,1533924,1536018,1551840,1934144,1934168,1936036,2022801,2022897
0,0,0.320066,0,0,0.025375,0.012,0.29,0.12,0.148,0,0.9,0,0,15,1532,3843,415638,664216,664521,665025,676733,677367,678774,732144,739286,1147401,1150512,1152903,1165150,1528982,1529305,1533924,1536018,1537944,1934144,1934163,1934212,2022801,2022897
0,0,0.036484,0.08,0.18,0.023531,0.062,0.03,0.14,0.068,0,0.1,0,0.18,14,1498,14842,419838,664220,664522,666154,676739,677367,677371,732514,750581,1147761,1150512,1150611,1177067,1528988,1529014,1533998,1536021,1549603,1934144,1934166,1937140,2022810,2025160
1,0.05,0.054726,0,0.06,0.001813,0.062,0.01,0.06,0.006,0.1,0.1,0,0.06,16,1475,2032,415606,664216,664523,664947,676733,677367,677371,732534,737432,1147780,1150513,1153330,1163036,1528984,1530566,1533924,1536018,1536022,1934145,1934164,1936554,2022801,2022897
0,0,0.014925,0.02,0.06,0.043422,0,0,0.06,0.026,0,0,0,0.06,45,1879,2039,415615,664219,664521,671184,676733,677367,677371,735688,737440,1149116,1150514,1152669,1163045,1528988,1530022,1533925,1536020,1536031,1934144,1934169,1934181,2022822,2024236
0,0,0.008292,0.22,0.06,0.073234,0.484,0.06,0.12,0.366,0,0.1,0.4,0.06,14,1479,2032,422373,664216,664525,665145,676736,677367,677389,734424,737432,1147961,1150512,1150546,1163036,1528988,1528994,1534007,1536019,1536022,1934144,1934164,1937712,2022803,2023077
0,0,0.096186,0.16,0.14,0.0265,0.144,0.02,0.14,0.19,0,0.2,0,0.14,19,1485,4326,415868,664216,664522,664554,676734,677367,677421,732095,739789,1147345,1150514,1150559,1165722,1528982,1528999,1533948,1536021,1538469,1934144,1934165,1934298,2022809,2022977
0,0.3,0.004975,0.28,0,0.000484,0,0.06,0,0,0.1,0.1,0,0,17,1479,2032,415719,664216,664522,666428,676742,677367,678747,733017,737432,1148197,1150513,1150542,1163257,1528982,1528994,1533937,1536020,1536022,1934144,1934168,1934182,2022803,2023011
0,0,0.036484,0.09,0.06,0.225219,1,0.03,0.02,0.724,0,0.1,0,0.06,18,1481,12746,428843,664216,664522,665676,676760,677367,677389,734583,748403,1148306,1150513,1150544,1174864,1528988,1528997,1533925,1536021,1547419,1934144,1934164,1934179,2022813,2022898
0,0,0.006633,0.02,0,1,0,0,0.06,0.004,0,0,0,0.02,20,1476,4212,418626,664216,664522,664662,676741,677368,677401,732104,739670,1147343,1150513,1150643,1165580,1528982,1529035,1533925,1536019,1538348,1934144,1934164,1936842,2022802,2024809
0,0,0.004975,0.2,0,0.068937,1,0,0.08,1,0,0,0,0.1,14,1483,2032,415606,664216,664522,665379,676733,677367,690727,732404,737432,1147651,1150513,1150543,1163036,1528984,1528996,1534031,1536019,1536022,1934144,1934168,1937071,2022806,2025055
0,0,0.131012,0.05,0,0.721875,0,0,0.14,0,0,0,0,0,15,1479,2347,416013,664216,664522,672368,676733,677368,688224,732723,737761,1147894,1150513,1150542,1163388,1528985,1528994,1533925,1536020,1536356,1934144,1934168,1934192,2022804,2022910
0,0.05,0.006633,0.05,0.16,0.000109,0.016,0.01,0.16,0.016,0.1,0.1,0,0.16,14,1566,2032,415606,664216,664525,668655,676775,677367,677373,733864,737432,1148907,1150513,1151157,1163036,1528984,1529108,1533924,1536018,1536022,1934144,1934164,1934178,2022801,2022897
1,0,0.006633,0.07,0.06,0.157609,0.134,0.06,0.06,0.114,0,0.3,0,0.06,14,1503,2032,417529,664216,664525,665876,676745,677367,677898,732929,737432,1148135,1150513,1150642,1186742,1528982,1529016,1534207,1536020,1588131,1934144,1934164,1934182,2022803,2023537
0,0.35,0.006633,0.4,0,0.022156,0.046,1,0,0.014,0,0.4,0,0,15,1484,2064,415610,664216,664522,664671,676747,677367,677371,732237,737466,1147500,1150512,1150603,1163061,1528982,1529003,1533925,1536020,1536059,1934144,1934163,1934182,2022803,2022907
0,0,0.004975,0.1,0.04,0.055391,0,0,0.04,0.006,0,0,0,0.04,18,1502,2032,415606,664216,664525,665838,676734,677367,677371,735939,737432,1148082,1150513,1150587,1163036,1528986,1529015,1533925,1536019,1536022,1934144,1934163,1938582,2022803,2026293
0,0.25,0.089552,0,0.1,0.007141,0.01,0.05,0.14,0.022,0.1,0.1,0.1,0.1,23,1556,2032,415611,664216,664522,664587,676733,677367,677406,732090,737432,1147340,1150513,1150618,1163036,1528985,1529084,1533931,1536021,1536022,1934145,1934168,1934183,2022804,2022899
0,0,0.006633,0.04,0.06,0.026391,0.368,0.12,0.92,0.106,0,0.1,0,0.06,17,1476,2131,415739,664219,664524,664647,676734,677367,679501,732108,737536,1147354,1150512,1150549,1163160,1528982,1529000,1533925,1536021,1536141,1934144,1934163,1934308,2022802,2023109
0,0.2,0.004975,0.89,0.08,0.007594,0.01,0.04,0.14,0.008,0.1,0.1,0,0.08,14,1498,2032,415606,664218,664522,667155,676738,677367,677524,732197,737432,1147461,1150514,1150694,1163036,1528984,1529014,1534543,1536021,1536022,1934144,1934166,1955082,2022803,2038259
1,0,0.069652,0.02,0.02,0.052234,0.002,0.17,0.04,0.002,0,0.1,0,0.02,14,1829,2032,418296,664220,664524,664867,676734,677367,679911,732606,737432,1147703,1150512,1152970,1166562,1528982,1530095,1533924,1536018,1536022,1934145,1934164,1936030,2022801,2022897
0,0,0.008292,0.01,0.04,0.125562,0.328,0.18,0.26,0.734,0,0.2,0,0.04,15,1479,28337,444293,664219,664525,668775,676742,677367,682786,732841,764277,1148060,1150512,1150546,1191055,1528985,1528994,1534045,1536020,1563276,1934144,1934163,1944948,2022804,2022932
1,0,0.004975,0.11,0.06,0.252875,0.25,0.02,0.06,0.206,0,0.2,0,0.06,14,1490,2042,415618,664216,664521,667759,676733,677367,680313,734393,737443,1149321,1150512,1150579,1163048,1528983,1529008,1533925,1536020,1536034,1934144,1934163,1934195,2022804,2022906
0,0,0.237148,0.02,0.04,0,0,0,0.04,0.004,0,0,0,0.04,19,1475,2032,415606,664216,664522,664553,676740,677368,677371,732102,737432,1147339,1150513,1151118,1163036,1528990,1529240,1533924,1536018,1536022,1934145,1934163,1934178,2022801,2022897
0,0.1,0.004975,0,0.14,0.006922,0.074,0.07,0.68,0.564,0.1,0.4,0.7,0.14,40,1475,2044,415620,664218,664523,664626,676733,677367,677515,732551,737445,1147460,1150512,1150831,1163050,1528988,1529044,1533924,1536018,1536036,1934144,1934163,1934196,2022801,2022897
1,0.1,0.006633,0.6,1,0.000953,0.242,0.52,0.78,0.496,0.1,0.8,0.1,1,14,1517,34697,449925,664217,664522,664566,676733,677367,677438,732098,770313,1147348,1150514,1150726,1196924,1528988,1529029,1533974,1536021,1569502,1934144,1934166,1934179,2022814,2022898
0,0.05,0.06136,0.02,0.84,0.005125,0.088,0.15,0.98,0.116,0.1,0.9,0,0.84,14,1487,2317,415629,664216,664521,664820,676734,677367,677650,732408,737729,1147376,1150512,1150541,1163059,1528982,1529006,1533924,1536018,1536132,1934144,1934163,1934185,2022801,2022897
0,0,0.004975,0,0,0.233109,0,0,0,0,0,0,0,0,14,1508,2033,415607,664219,664524,667591,676740,677367,677371,733495,737433,1148590,1150518,1150585,1163037,1528989,1529049,1533924,1536018,1536023,1934144,1934164,1934181,2022801,2022897
0,0,0.006633,0,0.02,0.315875,0.132,0.01,0.02,0.002,0,0.1,0,0.02,15,1504,2032,415612,664217,664523,666179,676733,677367,678037,732901,737432,1147941,1150518,1151094,1163058,1528984,1529393,1533924,1536018,1546082,1934144,1934169,1934180,2022801,2022897
0,0.65,0.026534,0.8,0.64,0.005906,0.23,0.15,0.74,0.114,0.1,0.2,0,0.96,16,1480,2060,415640,664216,664522,665863,676733,677367,682363,733082,737462,1148255,1150518,1150780,1163074,1528982,1529089,1533935,1536020,1536055,1934145,1934163,1934203,2022802,2022924
0,0,0.004975,0.91,0.08,0.004578,0.44,0.35,0.08,0.132,0,0.5,0.1,0.08,14,1483,3028,416811,664217,664522,664876,676736,677367,680062,732123,738458,1147377,1150514,1150566,1164198,1528987,1528996,1533925,1536021,1537086,1934144,1934165,1934772,2022806,2023316
0,0,0.003317,0,0,0.088344,0,0,0.08,0.03,0,0,0,0,14,1481,4807,419428,664218,664523,664605,676735,677367,677393,732103,740280,1147355,1150513,1150544,1166281,1528985,1528997,1533940,1536021,1538982,1934144,1934163,1936995,2022814,2024989
0,0,0.092869,0,0.2,0.102344,0.196,0.34,0.22,0.698,0,0.9,0,0.2,14,1476,2032,420225,664216,664526,667597,676733,677367,677371,733042,737432,1148218,1150513,1150643,1163036,1528982,1529035,1533925,1536019,1536022,1934144,1934163,1936563,2022802,2025752
1,0.3,0.003317,0.1,0.12,0,0,0.06,0.18,0.018,0.1,0.1,0,0,14,1481,3412,417476,664216,664522,664591,676734,677367,677400,732122,738852,1147375,1150513,1150544,1164652,1528982,1528997,1533934,1536021,1537503,1934144,1934164,1934179,2022803,2022898
1,0,0.004975,0.01,0.06,0.045328,0,0,0.06,0.018,0,0,0,0.06,14,1686,3418,417479,664216,664521,666575,676735,677367,677775,732603,738857,1147695,1150513,1151565,1164658,1528989,1529702,1533924,1536018,1537508,1934144,1934163,1934299,2022801,2022897
0,0.05,0.043118,0.01,0.28,0.000875,0.03,0.1,0.7,0.322,0.1,0.2,0,0.3,18,1475,2032,415606,664216,664521,665904,676733,677367,682019,732608,737432,1147852,1150513,1157974,1163036,1528982,1532450,1533924,1536018,1536022,1934144,1934163,1934178,2022801,2022897
0,0,0.006633,0.75,0.44,0.092375,0.362,0.02,0.44,0.136,0,0.1,0,0.44,19,1481,2035,415610,664217,664521,666219,676734,677367,677544,732655,737436,1147892,1150518,1150570,1163040,1528983,1529012,1533930,1536020,1536026,1934144,1934163,1934182,2022803,2022904
0,0,0.003317,0,0,1,0,0,0.22,0,0,0,0,0,14,1508,2033,415607,664218,664522,666946,676733,677368,677956,732461,737433,1147712,1150518,1150585,1163037,1528982,1529049,1533924,1536018,1536023,1934146,1934164,1934181,2022801,2022897
0,0,0.006633,0.64,0.22,0.023344,0.172,0.15,0.26,0.462,0,0.4,0,0.22,14,1533,2032,581539,664216,664522,666758,676733,677367,687482,733266,737432,1148399,1150513,1150807,1383962,1528982,1529069,1533925,1536020,1752559,1934144,1934163,1943282,2022813,2023113
0,0,0.179104,0.01,0.02,1,0,0,0.02,0.026,0,0,0,0.02,14,1475,2176,415643,664217,664522,665220,676734,677368,678015,732327,737581,1147579,1150514,1151815,1163206,1528983,1529078,1533924,1536018,1536186,1934144,1934165,1934220,2022801,2022897
0,0,0.063018,0.9,0.04,0.644219,0.704,0,0.1,0.088,0,0,0,0.1,14,1526,5699,420587,664216,664522,664869,676735,677367,678335,732274,741210,1147507,1150512,1150751,1167281,1528982,1529046,1533955,1536019,1539936,1934144,1934168,1934179,2022804,2022898
0,0,1,0,0.02,0.117891,0.038,0.15,0.02,0.174,0,0.7,0,0.02,16,1697,2251,415878,664216,664522,666130,676735,677367,677373,733854,737662,1147928,1150525,1151452,1163282,1528985,1529386,1533924,1536018,1536259,1934144,1934164,1934440,2022801,2022897
0,0,0.084577,0.03,0.04,0.226281,0.754,0.08,0.04,0.566,0,0.2,0,0.04,14,1481,19070,435448,664218,664521,669790,676733,677367,680267,734412,754781,1149336,1150512,1150553,1181484,1528982,1528997,1533925,1536019,1553835,1934144,1934163,1943043,2022803,2029514
1,0,0.003317,0,0,0.09,0.084,1,0,0.574,0,1,0,0,16,1500,2032,415606,664216,664522,665227,676733,677367,678608,732548,737432,1147792,1150514,1150588,1163036,1528988,1529052,1533924,1536018,1536022,1934145,1934165,1934178,2022801,2022897
0,0,1,0.05,0,0.441312,0.04,0.02,0.12,0.02,0,0,0,0.14,21,1484,2032,415610,664216,664521,666545,676733,677367,677371,732919,737432,1148128,1150518,1151208,1163061,1528983,1529003,1533925,1536020,1536022,1934144,1934163,1934182,2022803,2022908
1,0,0.106136,0,0.24,0.066297,0.378,0.05,0.14,0.282,0,0.2,0,0.38,15,1558,2072,415658,664216,664524,665057,676733,677367,677700,732265,737477,1147526,1150513,1150656,1163088,1528982,1529092,1533925,1536020,1536068,1934144,1934168,1934230,2022804,2022900
1,0,0.054726,0.02,0.5,0.034438,0.364,0.62,0.66,1,0,0.6,0,0.5,14,1550,2055,415634,664217,664522,664593,676733,677367,677513,732096,737456,1147347,1150513,1150607,1163068,1528985,1529072,1533925,1536020,1536050,1934144,1934165,1934183,2022808,2022913
0,0,0.004975,0.06,0.02,0.091813,0.164,0.02,0.02,0.108,0,0.1,0,0.02,16,1488,148855,415651,664216,664522,668756,676733,677367,677371,733983,875218,1147773,1150515,1150666,1299222,1528987,1529086,1533929,1536021,1680795,1934145,1934164,1934211,2022808,2022922
0,0,0.041459,0.12,0.28,0.239187,0.994,0.01,0.88,0.516,0,0.1,0,0.32,15,1487,23901,415777,664222,664523,665919,676739,677367,677371,733361,759933,1148481,1150512,1150541,1163286,1528984,1529006,1533924,1536018,1538398,1934144,1934163,1934185,2022801,2022897
0,0,0.013267,0.3,0.08,0,0,0,0.1,0.008,0,0,0,0.1,15,1476,2041,415617,664216,664522,664693,676734,677368,677371,732182,737442,1147405,1150512,1150739,1163047,1528990,1529122,1533925,1536020,1536033,1934144,1934167,1934194,2022802,2022920
0,0.1,0.004975,0.03,0.26,0.000078,0.08,0.08,0.28,0.082,0.1,0.2,0,0.26,14,1504,2032,415612,664217,664522,665184,676733,677367,685069,732221,737432,1147488,1150512,1150885,1163058,1528983,1529101,1533924,1536018,1536076,1934145,1934163,1934180,2022801,2022897
0,0,0.028192,0,0,0.489438,0,0,0.34,0,0,0,0,0.32,14,1762,2033,415607,664216,664522,664815,676733,677367,677376,732525,737433,1147458,1150513,1152269,1163037,1528982,1529858,1533924,1536018,1536023,1934144,1934165,1934181,2022801,2022897
0,0.1,0.348259,0,0.06,0.001031,0.008,0.05,0.86,0.098,0.1,0.3,0,0.08,14,1642,2032,420582,664217,664524,664762,676733,677367,677371,732173,737432,1147430,1150512,1151455,1286569,1528983,1529259,1533924,1536018,1536022,1934144,1934163,1934297,2022801,2022897
1,0,0.016584,0.16,0.56,0.297641,1,0.05,0.66,1,0,0.3,0,0.66,16,1486,2036,415613,664216,664522,664570,676738,677367,678463,732114,737437,1147363,1150513,1150560,1163041,1528982,1529019,1533924,1536018,1536027,1934144,1934165,1934191,2022801,2022897
1,0,0.033167,0,0,0.161922,1,0.02,0,0.082,0,0.1,0,0,23,1475,2032,422888,664219,664522,666802,676733,677367,677371,732939,737432,1148141,1150512,1154969,1163036,1528983,1531303,1533924,1536018,1536022,1934144,1934163,1938284,2022801,2022897
0,0,0.014925,0.73,0.02,0.160953,0.386,0.01,0.5,0.118,0,0.1,0,0.3,14,1507,2032,415611,664216,664522,665818,676733,677367,678397,733206,737432,1148347,1150513,1150741,1163036,1528984,1529188,1533931,1536019,1536022,1934144,1934165,1934183,2022807,2022899
0,0,0.031509,0.44,0.42,0.028813,0.154,0.05,0.42,0.14,0,0.1,0,0.42,16,1480,125449,417573,664217,664522,665660,676734,677367,679802,732483,859721,1147735,1150513,1150555,1166972,1528982,1528998,1534014,1536019,1541618,1934144,1934164,1935689,2022802,2024235
0,0,0.117745,0,0,0,0,0,0,0,0,0,0,0,21,1477,2032,415606,664218,664522,664573,676734,677368,677371,732143,737432,1147343,1150513,1150563,1163036,1528990,1529001,1533925,1536020,1536022,1934144,1934169,1934178,2022802,2022909
0,0,0.004975,0,0,0.048891,0.056,0.08,0,0.134,0,0.5,0,0,15,1488,2032,505853,664218,664522,668023,676733,677367,679929,732825,737432,1148044,1150513,1150582,1163036,1528982,1529002,1534003,1536019,1536022,1934145,1934163,1938199,2022808,2026071
0,0,1,0.01,0,0.029875,0.166,0.05,0.68,0.38,0,0.4,0,0.02,20,1508,2033,415607,664216,664522,664594,676733,677367,677393,732103,737433,1147355,1150515,1151086,1163037,1528982,1529392,1533924,1536018,1536023,1934144,1934163,1934181,2022801,2022897
1,0.25,0.003317,0,0,0.021687,0,0.11,0.02,0.014,0,0.3,0,0,18,1480,304351,604535,664216,664526,665744,676733,677367,679487,732583,1021290,1147828,1150512,1150552,1461023,1528982,1528998,1533929,1536021,1857475,1934144,1934163,1967275,2022802,2050830
0,0.15,0.008292,0.01,0,0.001484,0,0.74,0.4,0.236,0.2,1,0,0,428,1475,2128,415643,664218,664522,664543,676733,677367,677518,732085,737533,1147332,1150513,1151664,1163157,1528982,1529078,1533924,1536018,1536137,1934146,1934163,1934220,2022801,2022897
0,0,0.006633,0.05,0.1,0.005453,0,0,0.1,0.01,0,0,0,0.1,14,1758,2217,415750,664217,664523,664782,676733,677367,677371,732220,737625,1147486,1150514,1152199,1163249,1528986,1529835,1533924,1536018,1536224,1934144,1934167,1934310,2022801,2022897
0,0,0.004975,0.17,0.06,0.309547,0,0,0.06,0.108,0,0,0,0.06,14,1490,2042,415618,664216,664523,665525,676733,677367,682635,732594,737443,1147823,1150512,1150579,1163048,1528989,1529008,1533925,1536020,1536034,1934144,1934163,1934195,2022804,2022906
0,0,1,0.1,0.08,0,0,0,0.1,0.02,0,0,0,0.1,14,1475,2286,415679,664253,664522,664683,676733,677368,677371,732302,737695,1147431,1150512,1151144,1163325,1528990,1529078,1533924,1536018,1536295,1934144,1934167,1934247,2022801,2022897
1,0.35,0.056385,0.24,0.12,0.000109,0.014,0.07,0.08,0.012,0.1,0.1,0,0.12,14,1481,2035,415610,664216,664522,664881,676735,677367,677697,732125,737436,1147379,1150518,1150570,1163040,1528983,1529012,1533930,1536020,1536026,1934144,1934163,1934182,2022803,2022904
